Age,Primary streaming service,Hours per day,While working,Fav genre,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [K pop],Frequency [Rap],Anxiety,Depression,Insomnia,OCD,Music effects
31,YouTube Music,6,Yes,EDM,Rarely,Rarely,Very frequently,Never,Sometimes,8,6,5,6,No effect
31,Spotify,1,No,Rock,Sometimes,Rarely,Never,Never,Rarely,3,10,0,0,Worsen
38,Spotify,6,Yes,Pop,Very frequently,Sometimes,Sometimes,Rarely,Very frequently,9,4,9,7,Improve
17,Spotify,4,No,Classical,Very frequently,Never,Never,Rarely,Rarely,7,9,2,8,Worsen
25,Apple Music,2,No,EDM,Never,Sometimes,Very frequently,Never,Never,10,3,1,4,Improve
20,Spotify,2,No,Metal,Rarely,Never,Never,Never,Rarely,0,0,0,1,No effect
15,Spotify,2,Yes,EDM,Never,Never,Very frequently,Never,Sometimes,9,6,1,7,No effect
16,Spotify,4,Yes,Lofi,Rarely,Rarely,Very frequently,Never,Rarely,7,1,3,5,Improve
20,Spotify,2,Yes,EDM,Sometimes,Never,Very frequently,Sometimes,Never,9,7,5,7,Improve
23,Other streaming service,6,Yes,Rap,Never,Never,Sometimes,Sometimes,Sometimes,3,1,2,7,Improve
22,Spotify,3,Yes,Hip hop,Rarely,Never,Sometimes,Never,Very frequently,6,6,8,0,Improve
15,I do not use a streaming service.,5,Yes,Rock,Rarely,Never,Very frequently,Never,Never,10,6,0,4,Improve
